"genename","uniprot","mean_ctrl","mean_patient","mito","complex"
"A2M","P01023",6141753.85,8379817.33333333,"nonmito",""
"AAAS","Q9NRG9",38266.428126,40038.90104,"nonmito",""
"AACS","Q86V21",55300.750782,71066.0260433333,"nonmito",""
"AAGAB","Q6PD74",62188.131252,57616.7109366667,"nonmito",""
"AAK1","Q2M2I8",115878.68438,129167.3073,"nonmito",""
"AAMDC","Q9H7C9",79715.387506,46162.0872433333,"nonmito",""
"AAMP","Q13685",40661.407812,43887.6966133333,"nonmito",""
"AAR2","Q9Y312",51260.534374,49590.0182333333,"nonmito",""
"AARS1","P49588",433019.99378,343875.520866667,"nonmito",""
"AARS2","Q5JTZ9",36460.200004,37133.5013033333,"mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",91153.818756,75944.7708333333,"nonmito",""
"AASDHPPT","Q9NRN7",72787.943752,78069.91146,"nonmito",""
"AASS","Q9UDR5",43315.064846,29420.6582033333,"mito",""
"AATF","Q9NY61",20183.54785,23553.1595033333,"nonmito",""
"ABAT","P80404",22954.949218,25693.79818,"mito",""
"ABCA1","O95477",12651.4216784,16087.2910166667,"nonmito",""
"ABCB10","Q9NRK6",49264.04297,36585.3502633333,"mito",""
"ABCB6","Q9NP58;Q9NP58-4",47104.058594,37723.84245,"mito",""
"ABCB7","O75027;O75027-2",46641.396094,42045.2968766667,"mito",""
"ABCB8","Q9NUT2;Q9NUT2-2;Q9NUT2-4;Q9NUT2-5",18165.352932,12510.9837263333,"mito",""
"ABCC1","P33527",82174.13907,125451.156233333,"nonmito",""
"ABCC4","O15439",49692.226564,37098.1666666667,"nonmito",""
"ABCD1","P33897",58500.03594,52403.4648433333,"mito",""
"ABCD3","P28288",86150.859378,72716.3828133333,"mito",""
"ABCD4","O14678",17866.09922,19906.52474,"nonmito",""
"ABCE1","P61221",208641.55,201121.270833333,"nonmito",""
"ABCF1","Q8NE71",141976.31252,128972.8047,"nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",118714.424988,131187.289066667,"nonmito",""
"ABCF3","Q9NUQ8;Q9NUQ8-2",216496.375,251322.9375,"nonmito",""
"ABHD10","Q9NUJ1",87853.63438,80459.9348966667,"mito",""
