"genename","uniprot","mean_ctrl","mean_patient","mito","complex"
"A1BG","P04217",85423.721882,317617.1146,"nonmito",""
"A2M","P01023",63077.71915,150558.578166667,"nonmito",""
"AAAS","Q9NRG9;Q9NRG9-2",27820.517188,55215.22526,"nonmito",""
"AAK1","Q2M2I8;Q2M2I8-2",41982.642188,39006.48893,"nonmito",""
"AARS1","P49588",119447.20156,56895.3268233333,"nonmito",""
"AARS2","Q5JTZ9",25798.018752,30483.4895833333,"mito",""
"AARSD1","Q9BTE6-2;Q9BTE6-3",27719.389454,26765.4713566667,"nonmito",""
"AASDHPPT","Q9NRN7",43839.725,20542.38932,"nonmito",""
"ABAT","P80404",18282.439454,63578.5781233333,"mito",""
"ABCB10","Q9NRK6",26358.117384,33496.1347666667,"mito",""
"ABCB6","Q9NP58;Q9NP58-4",39501.455862,20636.0533833333,"mito",""
"ABCB7","O75027;O75027-2",37274.583984,33742.99935,"mito",""
"ABCC1","P33527;P33527-9",43301.548438,35645.8151033333,"nonmito",""
"ABCC4","O15439",99533.03361,71715.5625033333,"nonmito",""
"ABCD1","P33897",44050.898438,21284.0449233333,"mito",""
"ABCD3","P28288",51704.468752,83285.5260433333,"mito",""
"ABCE1","P61221",68513.354688,24503.7903633333,"nonmito",""
"ABCF1","Q8NE71",94717.66251,72742.92448,"nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",38733.8375,32499.6276033333,"nonmito",""
"ABCF3","Q9NUQ8;Q9NUQ8-2",28163.144534,21608.4973966667,"nonmito",""
"ABHD10","Q9NUJ1",71332.769532,37121.72005,"mito",""
"ABHD11","Q8NFV4;Q8NFV4-4",39106.389064,20822.1412766667,"mito",""
"ABHD12","Q8N2K0;Q8N2K0-2;Q8N2K0-3",24753.848826,30615.8033866667,"nonmito",""
"ABHD13","Q7L211",15703.44668,20820.9036466667,"nonmito",""
"ABHD14B","Q96IU4",236616.52814,111954.781266667,"nonmito",""
"ABHD16A","O95870",166798.2,105269.533866667,"nonmito",""
"ABHD17B","Q5VST6-2",38615.745706,60347.89974,"nonmito",""
"ABHD4","Q8TB40",32123.46211,12572.179688,"nonmito",""
"ABHD5","Q8WTS1",26152.347658,86783.4010466667,"nonmito",""
"ABI1","Q8IZP0;Q8IZP0-10;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9",70156.9625,30708.2766966667,"nonmito",""
"ABLIM1","O14639-2;O14639-6",25833.282424,22074.7949233333,"nonmito",""
"ABLIM3","O94929-2;O94929-3",29448.357032,25531.4785166667,"nonmito",""
"ABRACL","Q9P1F3",302307.21254,358790.562533333,"nonmito",""
"ABRAXAS2","Q15018",74057.423438,89096.6458333333,"nonmito",""
"ACAA1","P09110",51690.546876,119628.708366667,"mito",""
"ACAA2","P42765",124250.006252,59186.9895833333,"mito",""
