"genename","uniprot","log2FC_patient","negLogPval","MitoList","complex"
"A2M","P01023",-1.06241679279777,1.93481092690354,"nonmito",""
"AAAS","Q9NRG9",-0.267274366849172,2.91735648600874,"nonmito",""
"AACS","Q86V21",0.0334326350269656,0.319081742475644,"nonmito",""
"AAGAB","Q6PD74",-0.169839700044374,1.00106182593072,"nonmito",""
"AAK1","Q2M2I8",-0.140180168057071,0.384262795999606,"nonmito",""
"AAMDC","Q9H7C9",-0.274675143886057,2.39479420255553,"nonmito",""
"AAMP","Q13685",-0.0638108191661964,0.763813911695219,"nonmito",""
"AAR2","Q9Y312",-0.229678939118084,0.764441524684787,"nonmito",""
"AARS1","P49588",-0.0938189053220704,1.21043687056824,"nonmito",""
"AARS2","Q5JTZ9",-0.0695370810453078,0.971274154633197,"mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",0.371526949245002,2.02579535102001,"nonmito",""
"AASDHPPT","Q9NRN7",-0.24322409922398,0.929703088321126,"nonmito",""
"AASS","Q9UDR5",-0.0491766520267021,0.556050189834654,"mito",""
"AATF","Q9NY61",0.240540081631039,2.51545948147526,"nonmito",""
"ABAT","P80404",0.421199015108954,2.3989643308124,"mito",""
"ABCB10","Q9NRK6",0.111485632983594,0.838858484694328,"mito",""
"ABCB7","O75027;O75027-2",0.110737710633835,0.852786655937965,"mito",""
"ABCB8","Q9NUT2;Q9NUT2-2;Q9NUT2-4;Q9NUT2-5",0.132914335840963,0.921152990474619,"mito",""
"ABCB9","Q9NP78;Q9NP78-2;Q9NP78-5;Q9NP78-6;Q9NP78-7",1.0197652697025,0.460092669775897,"nonmito",""
"ABCC1","P33527;P33527-9",0.322547869740124,2.04902719778375,"nonmito",""
"ABCC10","Q5T3U5;Q5T3U5-2",-0.255412510519871,1.08144003768678,"nonmito",""
"ABCC4","O15439",0.0497620594882875,0.742319006299366,"nonmito",""
"ABCD3","P28288",0.0619099022186624,0.97534065173135,"mito",""
"ABCE1","P61221",-0.0191659456930644,0.610929234743837,"nonmito",""
"ABCF1","Q8NE71",-0.0463267777494565,1.25036818276015,"nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",-0.282319173437497,0.959057571276519,"nonmito",""
"ABCF3","Q9NUQ8",-0.0671587762107357,1.85806962723798,"nonmito",""
"ABHD10","Q9NUJ1",0.162186319838344,2.42680099092782,"mito",""
"ABHD11","Q8NFV4",0.128059690222109,1.49461166049202,"mito",""
"ABHD12","Q8N2K0;Q8N2K0-2",0.0793315714359721,2.22904502515764,"nonmito",""
