"genename","uniprot","log2FC_patient","negLogPval","MitoList","complex"
"A1BG","P04217",0.603266998585777,0.300416092106475,"nonmito",""
"A2M","P01023",0.998515116746265,0.453357082581209,"nonmito",""
"AAMDC","Q9H7C9",-0.904316923842977,1.94423621806221,"nonmito",""
"AARS1","P49588",0.433671514164885,1.41543332083296,"nonmito",""
"AARSD1","Q9BTE6-2;Q9BTE6-3",0.263803277934104,2.03665310050005,"nonmito",""
"AASDHPPT","Q9NRN7",0.451674083422631,0.493862510185468,"nonmito",""
"ABAT","P80404",-1.0859256190003,1.85051032941301,"mito",""
"ABCA8","O94911-3",-1.57028210263796,1.59009452833393,"nonmito",""
"ABCB10","Q9NRK6",-0.38358787406297,0.898966506605495,"mito",""
"ABCB6","Q9NP58;Q9NP58-4",1.26139146299679,0.670741698248224,"mito",""
"ABCB7","O75027;O75027-2",-0.892943291146649,1.00129470201993,"mito",""
"ABCB8","Q9NUT2;Q9NUT2-2;Q9NUT2-4;Q9NUT2-5",-1.17414585043608,1.08402533637567,"mito",""
"ABCC9","O60706;O60706-2",-0.594879587114569,1.14636615393288,"nonmito",""
"ABCE1","P61221",0.367170950293691,2.06829328368295,"nonmito",""
"ABCF1","Q8NE71",0.391704421640272,1.10163731047386,"nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",-0.534300396390927,2.29943225197625,"nonmito",""
"ABCF3","Q9NUQ8;Q9NUQ8-2",-0.18086073437294,1.139224702503,"nonmito",""
"ABHD10","Q9NUJ1",-0.455329854262484,0.871033090953176,"mito",""
"ABHD11","Q8NFV4",-0.26849413121267,0.455697376970946,"mito",""
"ABHD14B","Q96IU4",-0.13734302008308,0.45168812550485,"nonmito",""
"ABHD16A","O95870",0.140500930063293,1.22329419195112,"nonmito",""
"ABI1","Q8IZP0;Q8IZP0-10;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9",0.731923272892613,2.7904328792046,"nonmito",""
"ABI3BP","Q7Z7G0",2.20341729308189,1.0051366775,"nonmito",""
"ABLIM1","O14639;O14639-2;O14639-6",-1.00775300733446,0.811323314654718,"nonmito",""
"ABLIM2","Q6H8Q1-9",0.173436760636431,1.34098278103115,"nonmito",""
"ABRA","Q8N0Z2",0.460871406493435,1.44158481891872,"nonmito",""
"ABRAXAS2","Q15018",0.0237227412033274,0.203679577404893,"nonmito",""
"ACAA1","P09110",-0.913221398720486,2.36353517092238,"mito",""
"ACAA2","P42765",-1.16230877505074,2.20613310247283,"mito",""
"ACACB","O00763;O00763-2;O00763-3",1.26026715250354,1.29097911356852,"mito",""
"ACAD8","Q9UKU7",-1.24381099702078,1.17995750235399,"mito",""
"ACAD9","Q9H845",-0.193451021171759,0.21602808936813,"mito",""
"ACADM","P11310;P11310-2",-0.536527438186575,1.13143969822159,"mito",""
"ACADS","P16219",-2.38398525563258,2.20517596792324,"mito",""
"ACADSB","P45954",-1.04081799267465,0.971905680534194,"mito",""
"ACADVL","P49748;P49748-2;P49748-3",-2.53200445877001,2.14263144728394,"mito",""
"ACAT1","P24752",-0.911965026423751,1.97662330497536,"mito",""
"ACAT2","Q9BWD1",1.0728247957967,1.52931064565134,"nonmito",""
"ACBD3","Q9H3P7",0.102722169498412,0.162651079474541,"nonmito",""
"ACHE","P22303;P22303-2;P22303-4",0.255161822937886,0.561459366034109,"nonmito",""
"ACIN1","Q9UKV3;Q9UKV3-5",1.04016393653625,2.7451174972931,"nonmito",""
"ACLY","P53396;P53396-2",3.01257433310004,1.91059786764511,"mito",""
"ACO1","P21399",0.254746177995532,1.1114283042511,"nonmito",""
"ACO2","Q99798",-0.903370481587412,1.31935484204872,"mito",""
"ACOT1","Q86TX2",-1.49167810779104,1.76212603947773,"nonmito",""
"ACOT13","Q9NPJ3;Q9NPJ3-2",-0.807366146527158,1.29787087248236,"mito",""
"ACOT9","Q9Y305",0.54376019361279,1.22374680551134,"mito",""
"ACP1","P24666",-0.590051113105172,1.55297239481886,"nonmito",""
"ACP2","P11117",-0.239227685021852,0.628070916666285,"nonmito",""
"ACSF2","Q96CM8;Q96CM8-2;Q96CM8-3",0.411393476525316,0.714127403366652,"mito",""
"ACSF3","Q4G176",-0.0957663899469114,0.0380149519138135,"mito",""
"ACSL1","P33121",-0.683415318114221,2.38143522503152,"mito",""
"ACSL3","O95573",-1.08885707785154,3.09717745890472,"nonmito",""
"ACSL4","O60488;O60488-2",-0.91857865598163,2.13922461972844,"nonmito",""
"ACSS1","Q9NUB1;Q9NUB1-2",1.19924463841997,1.06162566187892,"mito",""
"ACSS2","Q9NR19;Q9NR19-2",0.97177474734959,1.75924863417128,"nonmito",""
"ACSS3","Q9H6R3",-0.0235405475210015,0.0141427527309966,"mito",""
"ACTA1","P68133",-1.29132419507262,2.17656896354134,"nonmito",""
"ACTB","P60709",0.438343095097046,0.971209718573939,"nonmito",""
"ACTBL2","Q562R1",-0.606484307575286,1.28830527793359,"nonmito",""
"ACTC1","P68032",-0.657428031310559,2.07307011533139,"nonmito",""
"ACTL6A","O96019",1.15987928270071,2.56501252836141,"nonmito",""
"ACTN1","P12814;P12814-3",0.0173156546037987,0.0103554466825049,"nonmito",""
"ACTN2","P35609",-0.811682058351707,2.33327278412401,"nonmito",""
"ACTN3","Q08043",1.53639085681016,0.27082428472482,"nonmito",""
"ACTN4","O43707",-0.130771359327202,0.200027369903849,"nonmito",""
"ACTR10","Q9NZ32",0.0886580634673404,0.27748249924524,"nonmito",""
"ACTR1A","P61163",-0.015448120288756,0.0498281849010323,"nonmito",""
"ACTR1B","P42025",0.382252701715618,1.77822195963253,"nonmito",""
"ACTR2","P61160-2",0.76267753490232,2.47747900630665,"nonmito",""
"ACTR3","P61158",0.807087401996736,2.02948427582138,"nonmito",""
"ACY1","Q03154",-1.87105767882613,2.28196437587918,"nonmito",""
"ACYP1","P07311",0.701321028659079,1.09360799210336,"nonmito",""
"ACYP2","P14621",-0.965581213021707,1.17480253256637,"nonmito",""
"ADA","P00813",0.256520609447284,0.627164802142258,"nonmito",""
"ADAL","Q6DHV7",0.25972883599008,0.509388181024949,"nonmito",""
"ADAM10","O14672",-0.0732739163338145,0.0245370911551767,"nonmito",""
"ADAMTSL4","Q6UY14;Q6UY14-3",2.16276098104102,1.13921944642061,"nonmito",""
"ADAR","P55265;P55265-2;P55265-3;P55265-4;P55265-5",0.437189050441036,0.604157984875312,"nonmito",""
"ADD1","P35611;P35611-2;P35611-3;P35611-6",1.48697582104798,1.13581639494793,"nonmito",""
"ADD3","Q9UEY8-2",1.84465955421489,1.13584882705977,"nonmito",""
"ADH1B","P00325",-1.02033763334047,1.58259052670325,"nonmito",""
"ADH1C","P00326",-3.4156055829929,2.29123373695638,"nonmito",""
"ADH4","P08319;P08319-2",-4.35681236618602,2.08195999201357,"nonmito",""
"ADH5","P11766",0.139769587301316,0.468569043211258,"nonmito",""
"ADHFE1","Q8IWW8;Q8IWW8-2",-1.16394089185331,1.87996005446454,"mito",""
"ADI1","Q9BV57",-0.190932861573204,0.155250443454567,"nonmito",""
"ADIPOQ","Q15848",0.24209866765457,1.79788055693165,"nonmito",""
"ADK","P55263;P55263-3",-0.11294997336659,0.290505531435937,"nonmito",""
"ADO","Q96SZ5",1.09640445453437,0.79736737629153,"nonmito",""
"ADPRH","P54922",0.201775364014475,0.918945463356997,"nonmito",""
"ADPRHL1","Q8NDY3",0.34598565485695,0.575677436885746,"nonmito",""
"ADPRS","Q9NX46",-0.467658973118681,1.40077922026098,"nonmito",""
"ADRM1","Q16186",-0.363656463299096,0.753708180659266,"nonmito",""
"ADSL","P30566",-0.168346622759699,0.925402317822039,"nonmito",""
"ADSS1","Q8N142",-0.539874954741695,1.27307359032949,"nonmito",""
"AEBP1","Q8IUX7",2.06182220063156,1.27224713348849,"nonmito",""
"AFG3L2","Q9Y4W6",-0.321710321023119,0.897473611454521,"mito",""
"AFM","P43652",1.41415400763819,2.21545964269275,"nonmito",""
"AGFG1","P52594;P52594-2;P52594-3;P52594-4",-0.0768317174784503,0.0810176097988381,"nonmito",""
"AGK","Q53H12",0.208260617901578,0.340231427328214,"mito",""
"AGL","P35573",-1.25535523817619,2.18253022776346,"nonmito",""
"AGMAT","Q9BSE5",-1.21667399253647,1.26072235356677,"mito",""
"AGO1","Q9UL18",-0.475129017870939,1.22840978329643,"nonmito",""
"AGO2","Q9UKV8",1.23111127312119,2.51027326252455,"nonmito",""
"AGPAT1","Q99943",0.247622363653614,0.457772243222573,"nonmito",""
"AGPAT3","Q9NRZ7;Q9NRZ7-2;Q9NRZ7-3",0.200588398745287,1.0621872449602,"nonmito",""
"AGPAT5","Q9NUQ2",1.29045395367817,3.29558288839261,"mito",""
"AGPS","O00116",0.518158854464033,1.20374412607219,"nonmito",""
"AGRN","O00468-6;O00468-7",1.21639641206774,2.22402220778385,"nonmito",""
"AGT","P01019",1.9584923331361,1.08651234758328,"nonmito",""
"AHCY","P23526",0.29655017543644,1.4358369517107,"nonmito",""
"AHCYL1","O43865;O43865-2",-0.174991270035264,0.462527199565259,"mito",""
"AHCYL2","Q96HN2;Q96HN2-2",-0.111238966215282,0.366342665251071,"nonmito",""
"AHNAK","Q09666",0.709252748628906,1.38050407418312,"nonmito",""
"AHSA1","O95433",0.492552821577696,1.42967530287228,"nonmito",""
"AHSG","P02765",1.48663282404564,0.78987587057486,"nonmito",""
"AIDA","Q96BJ3",0.973933224883881,0.902529357808636,"nonmito",""
"AIFM1","O95831;O95831-3",-1.09435250219882,1.43898099994054,"mito",""
"AIMP1","Q12904;Q12904-2",0.12996579594812,0.645063625624482,"nonmito",""
"AIMP2","Q13155",0.0868724569182504,0.329116526024975,"nonmito",""
"AIP","O00170",0.845956945447904,1.05188793578128,"nonmito",""
"AK1","P00568",0.136524886743157,0.309318937632801,"nonmito",""
"AK2","P54819;P54819-2",-0.907872767037258,1.11312386872422,"mito",""
"AK3","Q9UIJ7",-1.89064998884635,1.88890970830681,"mito",""
"AK4","P27144",1.06111068460926,1.297288438727,"mito",""
"AKAP1","Q92667",0.469446250753524,1.54014787982309,"mito",""
"AKAP12","Q02952;Q02952-2;Q02952-3",1.47303716003585,2.02626095768901,"nonmito",""
"AKAP2","Q9Y2D5-4;Q9Y2D5-6",0.664672328477804,1.09874861440423,"nonmito",""
"AKR1A1","P14550",0.509450735154164,1.45547215972313,"nonmito",""
"AKR1B1","P15121",-1.48019305631403,2.23158687609798,"nonmito",""
"AKR1C1","Q04828",-1.68447335081907,3.09471001670019,"nonmito",""
"AKR1C2","P52895",-2.20059900848172,4.26632135010805,"nonmito",""
"AKR1C3","P42330",-3.25377645453671,2.08809642802334,"nonmito",""
"AKR7A2","O43488",-0.0236275541850723,0.0746586812224978,"mito",""
"AKT1","P31749;P31749-2",1.30590212718109,2.51587318163452,"nonmito",""
"AKT2","P31751",-0.278093806925753,0.60750354565012,"nonmito",""
"ALAD","P13716;P13716-2",0.63614051920435,0.884853359607448,"nonmito",""
"ALDH16A1","Q8IZ83;Q8IZ83-3",0.57391596237594,1.70225994943737,"nonmito",""
"ALDH1A1","P00352",-0.471710727589866,0.712573083776158,"nonmito",""
"ALDH1A2","O94788",0.102026295556403,0.411296242994054,"nonmito",""
"ALDH1B1","P30837",-1.0419926459821,1.8134696255593,"mito",""
"ALDH1L1","O75891;O75891-3",-2.18276280822217,2.2749476540322,"mito",""
"ALDH2","P05091",-1.45083914993335,1.90462958911372,"mito",""
"ALDH3A2","P51648;P51648-2",-0.633494606458825,1.36311433068056,"mito",""
"ALDH4A1","P30038",-1.53563077868077,2.8744607773282,"mito",""
"ALDH5A1","P51649;P51649-2",-1.67408731891917,1.41494857763455,"mito",""
"ALDH6A1","Q02252;Q02252-2",0.794183323117075,1.7256190744857,"mito",""
"ALDH7A1","P49419;P49419-2",0.723524869679412,1.3178067917988,"mito",""
"ALDH9A1","P49189",-1.53731905882666,2.63930060965663,"mito",""
"ALDOA","P04075",-1.15788610893164,7.38899838209697,"nonmito",""
"ALDOB","P05062",-2.67644561935659,1.43777759114428,"nonmito",""
"ALDOC","P09972",-1.30793999988629,2.94404074920454,"nonmito",""
"ALG5","Q9Y673;Q9Y673-2",-0.247480859604828,0.641748493406747,"nonmito",""
"ALPK3","Q96L96",-0.925209286511997,0.90513714312055,"nonmito",""
"ALYREF","Q86V81",0.995128154266688,2.36987683382595,"nonmito",""
"AMBP","P02760",0.553563968235,0.460684708698516,"nonmito",""
"AMPD1","P23109;P23109-2",-2.20077140342288,5.6893738168062,"nonmito",""
"ANK1","P16157-3",1.80621998370996,1.11580011703332,"nonmito",""
"ANK1","P16157-17",-0.350193567701101,0.584417179905621,"nonmito",""
"ANK2","Q01484;Q01484-2;Q01484-5",1.02503765529712,1.70901561358202,"nonmito",""
"ANK3","Q12955;Q12955-4;Q12955-5",0.515400316727096,3.2492516200655,"nonmito",""
"ANKFY1","Q9P2R3;Q9P2R3-4",1.00368338041242,1.35959916606619,"nonmito",""
"ANKMY2","Q8IV38",0.183147437768026,0.20741236302609,"nonmito",""
"ANKRD2","Q9GZV1",-0.20179112031872,0.197306508343909,"nonmito",""
"ANO6","Q4KMQ2;Q4KMQ2-2;Q4KMQ2-3",0.878033366321812,1.84794952826402,"nonmito",""
"ANP32A","P39687",1.07573336167428,3.60703415062571,"nonmito",""
"ANP32B","Q92688;Q92688-2",1.0238480210024,2.38407877957209,"nonmito",""
"ANP32E","Q9BTT0",0.0642293117320616,0.0827799387496737,"nonmito",""
"ANPEP","P15144",1.08343760726698,0.839213656280347,"nonmito",""
"ANXA1","P04083",0.565838072533314,0.700299458963608,"nonmito",""
"ANXA11","P50995;P50995-2",-0.266480481997004,1.57109293509913,"nonmito",""
"ANXA2","P07355",0.705750175519324,0.902649232787074,"nonmito",""
"ANXA3","P12429",-0.825848844680641,1.4629803884255,"nonmito",""
"ANXA4","P09525",0.286585717470825,0.388478892641845,"nonmito",""
"ANXA5","P08758",1.01759188423443,1.40504676657262,"nonmito",""
"ANXA6","P08133",-0.0544227524293888,0.220349601040595,"nonmito",""
"ANXA7","P20073;P20073-2",-0.806285023663079,1.76845447314722,"nonmito",""
"AOC3","Q16853",-0.322661027198411,0.191350243662486,"nonmito",""
"AP1B1","Q10567-3",0.730746010504465,1.83363255250817,"nonmito",""
"AP1G1","O43747;O43747-2",0.522456725746645,3.01330148982777,"nonmito",""
"AP1M1","Q9BXS5;Q9BXS5-2",0.724779720311959,2.71450277368219,"nonmito",""
"AP1S2","P56377;P56377-2",0.388660297955141,2.28943947905855,"nonmito",""
"AP2A1","O95782;O95782-2",0.781531250534279,2.04913361895734,"nonmito",""
"AP2A2","O94973;O94973-2",0.789778282742546,1.55557973210273,"nonmito",""
"AP2B1","P63010;P63010-2",0.928713581484404,1.9011074758169,"nonmito",""
"AP2M1","Q96CW1;Q96CW1-2",0.698145397743854,1.53860553431071,"nonmito",""
"AP2S1","P53680;P53680-2",0.726288166887556,1.67182070552728,"nonmito",""
"AP3B1","O00203;O00203-3",0.578795446843387,1.45138647199378,"nonmito",""
"AP3D1","O14617-5",-0.328070165380565,0.289979481059457,"nonmito",""
"AP3M1","Q9Y2T2",0.71579781356863,1.4869603509146,"nonmito",""
"APCS","P02743",-1.01417787518334,1.32269127318448,"nonmito",""
"APEH","P13798",-0.810957105376133,1.94932233249097,"nonmito",""
"APEX1","P27695",0.975721926258409,2.78005936439815,"mito",""
"API5","Q9BZZ5;Q9BZZ5-2",0.704384844401492,1.81679957328984,"nonmito",""
"APIP","Q96GX9",0.237519208537044,0.273102184931289,"nonmito",""
"APMAP","Q9HDC9",1.03132551076354,1.51610969358524,"nonmito",""
"APOA1","P02647",1.58463007378831,0.836881070640484,"nonmito",""
"APOA2","P02652",1.9277365505153,1.38270880281443,"nonmito",""
"APOA4","P06727",1.03746536320303,0.878455709176479,"nonmito",""
"APOB","P04114",-0.563636770973837,0.280709417254452,"nonmito",""
"APOBEC2","Q9Y235",0.757536516881434,1.01987577240275,"nonmito",""
"APOC3","P02656",-1.31027803061092,0.557658119843619,"nonmito",""
"APOD","P05090",-0.0431212148810616,0.0766476466269391,"nonmito",""
"APOE","P02649",0.805453397767126,0.467998351700984,"nonmito",""
"APOH","P02749",1.08530162066581,0.651739934927939,"nonmito",""
"APOL2","Q9BQE5",-0.143682519229838,0.429549963530272,"nonmito",""
"APOO","Q9BUR5",-1.09733926205844,1.85672123160445,"mito",""
"APOOL","Q6UXV4",-0.408673744069944,0.970487812270235,"mito",""
"APPL1","Q9UKG1",0.31047922061305,0.897470541056516,"nonmito",""
"APRT","P07741;P07741-2",0.808665271858224,1.23993171418863,"nonmito",""
"ARAF","P10398",0.244095545318203,1.57957653483529,"nonmito",""
"ARCN1","P48444",0.728033020465805,3.90662181929648,"nonmito",""
"ARF4","P18085",0.994854596649962,1.73552725988147,"nonmito",""
"ARF5","P84085",0.161863920355371,0.423221279127177,"mito",""
"ARF6","P62330",0.897005282843564,2.85705154252059,"nonmito",""
"ARG1","P05089",-0.935891846468877,1.00537090667115,"nonmito",""
"ARHGAP1","Q07960",0.367890647458763,0.834060710911775,"nonmito",""
"ARHGAP10","A1A4S6",-0.0695666475743071,0.132882165739807,"nonmito",""
"ARHGAP17","Q68EM7;Q68EM7-2;Q68EM7-5;Q68EM7-6",0.0450864767677182,0.212915692412541,"nonmito",""
"ARHGDIA","P52565",0.306172594235122,1.95580757300854,"nonmito",""
"ARHGDIB","P52566",-0.259647739734881,0.564299125707601,"nonmito",""
"ARHGEF6","Q15052;Q15052-2",-0.52443447800834,2.84440691973283,"nonmito",""
"ARHGEF7","Q14155-1;Q14155-5",0.306494255219418,1.78482900433607,"nonmito",""
"ARIH1","Q9Y4X5",-0.11805271773941,1.25380476954331,"nonmito",""
"ARIH2","O95376",-0.414510040122051,2.12010027745476,"nonmito",""
"ARL1","P40616;P40616-2",0.22218554782134,0.738954898004943,"nonmito",""
"ARL2","P36404",0.243555889097886,0.653141718325467,"mito",""
"ARL3","P36405",1.31077806958721,2.21069269313693,"nonmito",""
"ARL6IP5","O75915",-0.121023150219536,0.666537165505553,"nonmito",""
"ARL8A","Q96BM9",0.40519459336854,0.67030066535152,"nonmito",""
"ARL8B","Q9NVJ2",-0.0116841464939341,0.0697555284266838,"nonmito",""
"ARMC1","Q9NVT9",0.586763450488959,0.933483155316027,"nonmito",""
"ARMC8","Q8IUR7;Q8IUR7-2;Q8IUR7-3;Q8IUR7-7",-0.248297194139308,0.493384801094659,"nonmito",""
"ARMCX2","Q7L311",1.16016488140681,1.3106774854156,"mito",""
"ARMCX3","Q9UH62",1.3053056461308,1.97239323257175,"mito",""
"ARMT1","Q9H993",0.266709522747856,1.78852655593146,"nonmito",""
"ARPC1A","Q92747",0.804915772641841,2.11832502075311,"nonmito",""
"ARPC1B","O15143",0.786422049718183,3.28267805867827,"nonmito",""
"ARPC2","O15144",0.768617173194652,1.93666051840131,"nonmito",""
"ARPC3","O15145",0.782332080740041,2.54757844655338,"nonmito",""
"ARPC4","P59998",0.826416591927234,2.51039147990257,"nonmito",""
"ARPC5","O15511",0.644471885190242,1.60015453582738,"nonmito",""
"ARPC5L","Q9BPX5",0.63186194756328,2.85887020123578,"nonmito",""
"ARPIN","Q7Z6K5;Q7Z6K5-2",1.18204740037068,1.28875156399396,"nonmito",""
"ARPP19","P56211;P56211-2",-0.933207696549077,1.4971787425155,"nonmito",""
"ART3","Q13508",0.637094426007824,1.15954918929294,"nonmito",""
"ARVCF","O00192;O00192-2",1.90864334181849,1.75489805860857,"nonmito",""
"AS3MT","Q9HBK9",-2.29709242853956,1.42233185812783,"nonmito",""
"ASAH1","Q13510;Q13510-2;Q13510-3",-0.244565555886517,0.553742224142448,"nonmito",""
"ASB2","Q96Q27;Q96Q27-2",-2.03400449922223,2.07968614417389,"nonmito",""
"ASL","P04424;P04424-2",-0.163514473010027,0.584047902024558,"nonmito",""
"ASMTL","O95671;O95671-2",0.272824257615156,0.499238744036199,"nonmito",""
"ASPA","P45381",-1.35395739062861,3.11739817053662,"nonmito",""
"ASPH","Q12797;Q12797-10",0.614865991373801,0.878602850951224,"nonmito",""
"ASPH","Q12797-3;Q12797-4",-1.10255035854573,2.40854267947978,"nonmito",""
"ASPN","Q9BXN1",1.80767637012661,0.570419733575364,"nonmito",""
"ASPSCR1","Q9BZE9;Q9BZE9-2",-0.352755981924934,0.858458728316603,"nonmito",""
"ASS1","P00966",-0.443088767504783,0.453912821313469,"nonmito",""
"ATAD1","Q8NBU5",-0.599191699978185,2.55362955134782,"mito",""
"ATAD3A","Q9NVI7;Q9NVI7-2;Q9NVI7-3",-0.560835536574391,1.19444117756072,"mito",""
"ATE1","O95260-2",0.295719172454893,1.28015333358863,"nonmito",""
"ATG7","O95352",-0.502459906280357,1.0697801966615,"nonmito",""
"ATIC","P31939",-0.456699992530027,0.980787163679309,"nonmito",""
"ATL2","Q8NHH9;Q8NHH9-5",-1.13034484672871,3.78531021653082,"nonmito",""
"ATL3","Q6DD88",0.696675486598803,0.814279805228792,"nonmito",""
"ATOX1","O00244",0.856719996104113,3.82081775726533,"nonmito",""
"ATP1A1","P05023;P05023-4",1.02041044946181,1.96202614247388,"nonmito",""
"ATP1A2","P50993",-0.7930193598859,3.67830395526574,"nonmito",""
"ATP1B1","P05026;P05026-2",-0.0221263604828579,0.182270317237081,"nonmito",""
"ATP1B3","P54709",1.08031811404275,1.51612030762726,"nonmito",""
"ATP1B4","Q9UN42;Q9UN42-2",2.1934169116739,2.52873217213044,"nonmito",""
"ATP2A1","O14983",-0.719162411162152,1.3636138565271,"nonmito",""
"ATP2A2","P16615-2",-1.57298798729285,3.66224244598098,"nonmito",""
"ATP2B1","P20020;P20020-1;P20020-2;P20020-4;P20020-5;P20020-6",0.296505288981905,0.605449283589046,"nonmito",""
"ATP2B2","Q01814;Q01814-2;Q01814-3;Q01814-4;Q01814-5;Q01814-6;Q01814-7;Q01814-8",-0.683659309240042,0.620054455871375,"nonmito",""
"ATP2B4","P23634;P23634-2;P23634-3;P23634-4;P23634-5;P23634-6;P23634-7;P23634-8",0.784775936289822,1.38829752031444,"nonmito",""
"ATP5F1A","P25705",-5.29089429670545,2.83915562033088,"mito","CV"
"ATP5F1B","P06576",-5.08581062761061,2.76259626036546,"mito","CV"
"ATP5F1C","P36542-2",-5.05272518051479,2.95385608140421,"mito","CV"
"ATP5F1D","P30049",-5.22440994287309,3.36357143267511,"mito","CV"
"ATP5IF1","Q9UII2",-0.943146108206093,1.70885336578181,"mito","CV"
"ATP5MD","Q96IX5",-4.29537489927556,2.63577501253234,"mito","CV"
"ATP5MF","P56134-2;P56134-4",-5.02386132514983,3.4536191352642,"mito","CV"
"ATP5MG","O75964",-4.623263418078,2.74194076221044,"mito","CV"
"ATP5MPL","P56378",-4.80878905596688,2.77787165155401,"mito","CV"
