"genename","uniprot","log2FC_patient","negLogPval","MitoList","complex"
"A2M","P01023",-1.19796864625773,1.04248667951241,"nonmito",""
"AAAS","Q9NRG9",-0.0984525697990328,0.54153243402232,"nonmito",""
"AACS","Q86V21",0.266557929162911,1.85669807070306,"nonmito",""
"AAGAB","Q6PD74",-0.110766868700122,0.409205155301176,"nonmito",""
"AAK1","Q2M2I8",-0.204876731235089,1.30778973759615,"nonmito",""
"AAMDC","Q9H7C9",0.188228562136416,0.320748151839832,"nonmito",""
"AAMP","Q13685",-0.196287535338614,0.614667421513422,"nonmito",""
"AAR2","Q9Y312",-0.118474992450714,0.603942388645889,"nonmito",""
"AARS1","P49588",-0.110490052729578,0.376883947842275,"nonmito",""
"AARS2","Q5JTZ9",-0.46288295447539,2.61510299235092,"mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",0.148867745066362,1.13785091661273,"nonmito",""
"AASDHPPT","Q9NRN7",0.0401198961606575,0.559063259220929,"nonmito",""
"AASS","Q9UDR5",0.385024718130135,1.83632686860225,"mito",""
"AATF","Q9NY61",-0.103594283044147,0.314148629134641,"nonmito",""
"ABAT","P80404",1.20324803902182,0.781785365589563,"mito",""
"ABCB10","Q9NRK6",0.167755292450241,1.14277953970662,"mito",""
"ABCB6","Q9NP58;Q9NP58-4",-0.180251912576392,0.447433346438077,"mito",""
"ABCB7","O75027;O75027-2",0.149629784441743,0.873317437326288,"mito",""
"ABCC1","P33527;P33527-9",0.351243207390961,1.90644770903874,"nonmito",""
"ABCC4","O15439;O15439-2",-0.201376794957676,0.730853972659908,"nonmito",""
"ABCD1","P33897",0.185382041251589,0.560581337994301,"mito",""
"ABCD3","P28288",-0.00835392686499858,0.0432600441738045,"mito",""
"ABCE1","P61221",0.0250134337442205,0.174726945791772,"nonmito",""
"ABCF1","Q8NE71",-0.0843037877141022,0.935106867129583,"nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",-0.176494398230467,1.55197217870831,"nonmito",""
"ABCF3","Q9NUQ8;Q9NUQ8-2",0.048456138850959,0.661864440887263,"nonmito",""
"ABHD10","Q9NUJ1",-0.416661332285052,0.992919121872669,"mito",""
"ABHD11","Q8NFV4",-0.0519709594951934,0.208824772143874,"mito",""
"ABHD12","Q8N2K0;Q8N2K0-2",0.109690013682322,0.398132778765244,"nonmito",""
"ABHD14B","Q96IU4",0.393695345260529,1.24435645829901,"nonmito",""
"ABHD16A","O95870",-0.198069564302077,2.46863008801207,"nonmito",""
"ABI1","Q8IZP0;Q8IZP0-10;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9",-0.033207593025196,0.140082171985174,"nonmito",""
"ABI2","Q9NYB9;Q9NYB9-2;Q9NYB9-4",0.111603175802344,0.708654035418368,"nonmito",""
